number of estimators 5; score: 0.259253353985
number of estimators 10; score: 0.2829191627
number of estimators 15; score: 0.290230735941
number of estimators 20; score: 0.292440152154
number of estimators 25; score: 0.297724529075
number of estimators 30; score: 0.299592282987
number of estimators 35; score: 0.302462246316
number of estimators 40; score: 0.302052251555
number of estimators 45; score: 0.301505591873
number of estimators 50; score: 0.30264446621
number of estimators 55; score: 0.302530578776
number of estimators 60; score: 0.305582761998
number of estimators 65; score: 0.305423319591
number of estimators 70; score: 0.303715008086
number of estimators 75; score: 0.304375555201
number of estimators 80; score: 0.305764981892
number of estimators 85; score: 0.306288864087
number of estimators 90; score: 0.307245518529
number of estimators 95; score: 0.308612167733
number of estimators 100; score: 0.307245518529
